Date,Time,Location,Subregion,Operator,FlightType,Cause,Aboard,Fatalities,FatalityRate
02/12/1926,,"Montpelier, Ohio",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
03/08/1926,,"Staaken, Germany",Western Europe,Deutche Lufthansa,commercial,unknown,1.0,1.0,1.0
05/31/1926,,English Channel,unknown,Air Union,commercial,unknown,1.0,1.0,1.0
07/03/1926,,"Rossaugpt, Czechoslovakia",Eastern Europe,Compagnie Internationale de Navigation Aérienne,commercial,unknown,7.0,7.0,1.0
07/09/1926,,"Wolvertem, Belgium",Western Europe,KLM Royal Dutch Airlines,commercial,unknown,2.0,2.0,1.0
07/24/1926,,"Juist, Germany",Western Europe,Deutsche Lufthansa,commercial,weather,4.0,4.0,1.0
08/18/1926,,"Hurst, Kent, England",Northern Europe,Air Union,commercial,"mechanical, weather",4.0,4.0,1.0
09/26/1926,,"New York, New York",Northern America,,unknown,mechanical,5.0,2.0,0.4
10/08/1926,,"Bueren, Germany",Western Europe,Deutsche Lufthansa,commercial,weather,4.0,4.0,1.0
10/21/1926,13:15,English Channel,unknown,Imperial Airways,commercial,"mechanical, cfit",12.0,0.0,0.0
11/11/1926,,"Cape Bojador, Morocco",Northern Africa,Grands Express Aeriens,commercial,unknown,3.0,3.0,1.0
12/16/1926,,"Medford, Oregon",Northern America,PacifiAir Transport,commercial,unknown,1.0,1.0,1.0
01/12/1927,,"Lille, France",Western Europe,KLM Royal Dutch Airlines,commercial,unknown,2.0,2.0,1.0
03/20/1927,,"Rabat, Morocco",Northern Africa,Grands Express Aeriens,commercial,unknown,1.0,1.0,1.0
03/24/1927,,"Tambo, Qld, Australia",Australia and New Zealand,Qantas,commercial,pilot_error,3.0,3.0,1.0
04/15/1927,,"King Hill, Idaho",Northern America,Varney Air Lines,commercial,mechanical,1.0,1.0,1.0
04/22/1927,,"Goshen, Indiana",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
04/22/1927,,"Floh, Germany",Western Europe,Deutsche Lufthansa,commercial,mechanical,2.0,2.0,1.0
05/02/1927,,"Algiers, Algeria",Northern Africa,Air Union,commercial,unknown,3.0,1.0,0.3333333333333333
07/27/1927,,"Amoneburg, Germany",Western Europe,Deutsche Lufthansa,commercial,mechanical,5.0,5.0,1.0
08/22/1927,08:30,"Sevenoaks, England",Northern Europe,KLM Royal Dutch Airlines,commercial,mechanical,11.0,1.0,0.09090909090909091
09/03/1927,,"Willington, Connecticut",Northern America,Colonial Air Transport,commercial,unknown,1.0,1.0,1.0
09/17/1927,,"Hadley, New Jersey",Northern America,Reynolds Airways,commercial,"mechanical, pilot_error",12.0,7.0,0.5833333333333334
09/22/1927,,"Saale, Germany",Western Europe,Deutsche Lufthansa,commercial,mechanical,4.0,2.0,0.5
09/23/1927,10:00,"Schleiz, Germany",Western Europe,Deutsche Lufthansa,commercial,mechanical,6.0,6.0,1.0
10/06/1927,,"Thies, Mauritania",Western Africa,Lignes Aeriennes Latecoere,commercial,unknown,2.0,2.0,1.0
10/30/1927,,"New Brunswick, New Jersey",Northern America,Colonial Air Transport,commercial,pilot_error,4.0,4.0,1.0
11/16/1927,,"Strasburg, France",Western Europe,CIDNA,commercial,unknown,1.0,1.0,1.0
11/16/1927,,Over the Gulf of Finland,unknown,Aero O-Y,commercial,unknown,6.0,6.0,1.0
11/29/1927,,"Corunna, Indiana",Northern America,National Air Transport,commercial,unknown,1.0,1.0,1.0
12/26/1927,,"Almeria, Spain",Southern Europe,Aeropostale,commercial,unknown,2.0,2.0,1.0
12/28/1927,,"Abuerio, Spain",Southern Europe,Aeropostale,commercial,unknown,1.0,1.0,1.0
12/31/1927,,France,Western Europe,Latecoere Airlines,commercial,unknown,4.0,4.0,1.0
01/08/1928,,"Near Canajoharie, New York",Northern America,Colonial Western Airlines,commercial,weather,3.0,3.0,1.0
01/16/1928,,"Solis, Uruguay",South America,Aeropostale,commercial,unknown,2.0,2.0,1.0
01/22/1928,,"Tarragona, Spain",Southern Europe,Aeropostale,commercial,unknown,2.0,2.0,1.0
01/22/1928,,France,Western Europe,Aeropostale,commercial,unknown,2.0,1.0,0.5
01/27/1928,,"Almeria, Spain",Southern Europe,Aeropostale,commercial,unknown,1.0,1.0,1.0
02/26/1928,,"Marquette, Nebraska",Northern America,Boeing Air Transport,commercial,"fire, cfit",2.0,1.0,0.5
03/03/1928,,"Rio de Janeiro, Brazil",South America,,unknown,unknown,10.0,10.0,1.0
03/11/1928,,"Off Cape Griz Nez, France",Western Europe,Air Union,commercial,unknown,2.0,2.0,1.0
04/17/1928,,"Federal, Wyoming",Northern America,Boeing Air Transport,commercial,unknown,2.0,1.0,0.5
04/19/1928,,"Minuesa, Spain",Southern Europe,Iberia Airlines,commercial,weather,9.0,9.0,1.0
05/07/1928,,,unknown,Aeropostale,commercial,unknown,1.0,1.0,1.0
05/12/1928,,"Dearborn, Minnesota",Northern America,Ford Air Freight Inc.,commercial,unknown,2.0,2.0,1.0
05/26/1928,,"Radevormwald, Germany",Western Europe,Deutsche Lufthansa,commercial,pilot_error,5.0,3.0,0.6
06/14/1928,,"Frankfurt, Germany",Western Europe,Deutsche Lufthansa,commercial,unknown,5.0,5.0,1.0
06/22/1928,,"Lebo, Kansas",Northern America,National Air Transport,commercial,unknown,1.0,1.0,1.0
07/10/1928,,Over the Gulf of Finland,unknown,Aero O-Y,commercial,unknown,6.0,6.0,1.0
07/13/1928,,"Purley, England",Northern Europe,Imperial Airways,commercial,unknown,4.0,4.0,1.0
07/24/1928,,"Waalhaven harbor, Netherlands",Western Europe,KLM Royal Dutch Airlines,commercial,unknown,1.0,1.0,1.0
08/25/1928,,"Near Port Townsend, BC, Canada",Northern America,British Columbia Airways,commercial,weather,7.0,7.0,1.0
09/02/1928,,"Toul, France",Western Europe,CIDNA,commercial,unknown,3.0,3.0,1.0
09/04/1928,,"Adelaide Hills, Australia",Australia and New Zealand,Qantas,commercial,fire,2.0,1.0,0.5
09/04/1928,,"Pocatello, Idaho",Northern America,National Parks Airways,commercial,unknown,7.0,7.0,1.0
09/06/1928,,"Heroldbach, Germany",Western Europe,Deutsche Lufthansa,commercial,mechanical,3.0,3.0,1.0
10/04/1928,,"Gerona, Spain",Southern Europe,Aeropostale,commercial,unknown,3.0,3.0,1.0
10/18/1928,,"Polk, Pennsylvania",Northern America,National Air Transport,commercial,fire,1.0,1.0,1.0
10/31/1928,,"Valence, France",Western Europe,Air Union,commercial,unknown,2.0,1.0,0.5
11/15/1928,,Off Gibraltar,unknown,Aeropostale,commercial,unknown,2.0,1.0,0.5
11/24/1928,,"Edgerton, Ohio",Northern America,Universal Airlines,commercial,weather,3.0,3.0,1.0
11/25/1928,,"Bristolville, Ohio",Northern America,National Air Transport,commercial,weather,1.0,1.0,1.0
11/25/1928,,"Edgerton, Ohio",Northern America,Continental Air Lines,commercial,weather,3.0,3.0,1.0
12/01/1928,10:00,"Spur, Texas",Northern America,Sunbeam Air Transport Co.,commercial,fire,5.0,5.0,1.0
12/03/1928,08:00,Brazil,South America,Syndicato Condor,commercial,"fire, mechanical, pilot_error",14.0,14.0,1.0
12/04/1928,,"Rio de Janeiro, Brazil",South America,,unknown,cfit,6.0,6.0,1.0
12/11/1928,,"Letzlingen, Germany",Western Europe,Deutsche Lufthansa,commercial,weather,4.0,3.0,0.75
12/20/1928,,"Huron, Ohio",Northern America,National Air Transport,commercial,weather,1.0,1.0,1.0
12/23/1928,,"Chattanooga, Tennessee",Northern America,Interstate Airlines,commercial,fire,4.0,4.0,1.0
12/31/1928,,"Reims, France",Western Europe,CIDNA,commercial,weather,3.0,2.0,0.6666666666666666
01/05/1929,,"Stafford Springs, Connecticut",Northern America,Colonial Air Transport,commercial,unknown,1.0,1.0,1.0
01/18/1929,,"Cove, Oregon",Northern America,Varney Air Lines,commercial,cfit,1.0,1.0,1.0
01/25/1929,,"Near Corfu, Greece",Southern Europe,Aeroespresso,commercial,unknown,9.0,2.0,0.2222222222222222
01/31/1929,,"Morgantown, West Virginia",Northern America,Skyline Transportation Company,commercial,unknown,1.0,1.0,1.0
01/31/1929,,Off Morocco,Northern Africa,Aeropostale,commercial,unknown,2.0,2.0,1.0
03/17/1929,,"Newark, New Jersey",Northern America,Colonial Western Airlines,commercial,mechanical,15.0,14.0,0.9333333333333333
03/30/1929,09:18,"Near Beaumont, California",Northern America,New Standard Airlines,commercial,"weather, cfit",4.0,4.0,1.0
04/21/1929,,"San Diego, California",Northern America,Maddux Airlines / Military - U.S.Army Air Force,military,"collision, cfit",6.0,6.0,1.0
05/18/1929,,Hungary,Eastern Europe,MALERT,commercial,unknown,2.0,2.0,1.0
05/22/1929,,Algiers,Northern Africa,Aeropostale,commercial,unknown,5.0,4.0,0.8
06/10/1929,,"Santiago de Cuba, Cuba",Caribbean,Pan American Airways,commercial,unknown,5.0,2.0,0.4
06/14/1929,,"Barcelona, Spain",Southern Europe,Aeropostale,commercial,unknown,2.0,1.0,0.5
06/17/1929,,"Off Dungeness, England",Northern Europe,Imperial Airways,commercial,"mechanical, cfit",13.0,7.0,0.5384615384615384
06/24/1929,,"St. Paul, Minnesota",Northern America,Northwest Orient Airlines,commercial,mechanical,8.0,1.0,0.125
06/29/1929,,"Lake Constance, Switzerland",Western Europe,Aero Lloyd,commercial,cfit,5.0,5.0,1.0
06/29/1929,,"Columbus, Ohio",Northern America,Continental Air Lines,commercial,unknown,1.0,1.0,1.0
08/11/1929,,"Clovis, New Mexico",Northern America,Middle States Airlines,commercial,unknown,4.0,4.0,1.0
08/13/1929,,"Perpignan, France",Western Europe,Aeropostale,commercial,unknown,1.0,1.0,1.0
08/24/1929,,"Sochi, Russia",Eastern Europe,Ukvozduchput,commercial,unknown,1.0,1.0,1.0
08/24/1929,,"Elm, Germany",Western Europe,Deutsche Lufthansa,commercial,weather,5.0,4.0,0.8
09/02/1929,,"Needles, California",Northern America,Associated Aviators,commercial,pilot_error,2.0,1.0,0.5
09/03/1929,c: 1:00,"Mt. Taylor, New Mexico",Northern America,Trans Continental Air Transport,commercial,"weather, cfit",8.0,8.0,1.0
09/06/1929,,"Jask, Iran",Western Asia,Imperial Airways,commercial,fire,5.0,3.0,0.6
09/17/1929,,"Off Larache, Morocco",Northern Africa,Aeropostale,commercial,unknown,5.0,5.0,1.0
09/17/1929,,"Jacumba, California",Northern America,Pickwick Airways,commercial,"weather, cfit",2.0,1.0,0.5
09/17/1929,,"Mt Lamentation, Connecticut",Northern America,Colonial Air Transport,commercial,"fire, cfit",1.0,1.0,1.0
10/26/1929,,"Off Spezia, Italy",Southern Europe,Imperial Airways,commercial,cfit,7.0,7.0,1.0
10/29/1929,,"Mount Vernon, Ohio",Northern America,Continental Air Lines,commercial,cfit,1.0,1.0,1.0
10/31/1929,,"Off Bremerton, Washington",Northern America,Bremerton-Seattle Air Taxi / Gorst Air Lines,civilian,unknown,2.0,2.0,1.0
11/04/1929,07:00,"Cerro del Carbon, Mexico",Central America,Corp. Aeronautica de Transportes,commercial,weather,4.0,4.0,1.0
11/06/1929,,"Near Godstone, Surrey, England",Northern Europe,Deutsche Lufthansa,commercial,weather,8.0,7.0,0.875
11/15/1929,,"Off Corsica, France",Western Europe,Air Union,commercial,weather,3.0,3.0,1.0
11/30/1929,,"Vancouver, Washington",Northern America,Varney Air Lines,commercial,"weather, cfit",1.0,1.0,1.0
12/02/1929,,"Chagrin Falls, Ohio",Northern America,National Air Transport,commercial,weather,1.0,1.0,1.0
12/14/1929,,Mediterranean Sea,unknown,Aeropostale,commercial,unknown,3.0,3.0,1.0
12/19/1929,,"Near Berlin, Germany",Western Europe,Deutsche Lufthansa,commercial,unknown,3.0,2.0,0.6666666666666666
12/30/1929,,"Amarillo, Texas",Northern America,Trans Continental Air Transport,commercial,unknown,5.0,5.0,1.0
01/10/1930,,"Brawnson, Nebraska",Northern America,Boeing Air Transport,commercial,"fire, weather",1.0,1.0,1.0
01/13/1930,,"Antananarivo, Madagascar",Eastern Africa,Air Orient,commercial,unknown,3.0,3.0,1.0
01/19/1930,18:23,"Oceanside, California",Northern America,Maddux Airlines,commercial,"fire, mechanical, weather, cfit",16.0,16.0,1.0
01/25/1930,,"Off Ceuta, Spain",Southern Europe,Aeropostale,commercial,unknown,2.0,2.0,1.0
01/27/1930,17:30,"Kansas City, Kansas",Northern America,Central  Airlines,commercial,fire,5.0,5.0,1.0
02/03/1930,,"Hartford, Connecticut",Northern America,Colonial Air Transport,commercial,cfit,1.0,1.0,1.0
02/10/1930,,"Marden, England",Northern Europe,Air Union,commercial,unknown,2.0,2.0,1.0
04/18/1930,c:17:00,"Jersey City, New Jersey",Northern America,Canadian Colonial Airways,commercial,weather,4.0,4.0,1.0
05/10/1930,,Buenos Aires,unknown,Aeropostale,commercial,unknown,4.0,3.0,0.75
06/05/1930,,"Boston, Massachusetts",Northern America,Colonial Air Transport,commercial,mechanical,15.0,1.0,0.06666666666666667
07/07/1930,,"Bornholm, Denmark",Northern Europe,Deutsche Lufthansa,commercial,"mechanical, weather, cfit",8.0,5.0,0.625
07/10/1930,,"Arkansas Pass, Texas",Northern America,Cross Airways,commercial,"fire, weather",5.0,5.0,1.0
08/22/1930,,"Iglau, Czechoslovakia",Eastern Europe,Ceskoslovenske Aerolinie,commercial,weather,11.0,10.0,0.9090909090909091
09/11/1930,,"Croydon, England",Northern Europe,Sabena,commercial,unknown,2.0,2.0,1.0
09/25/1930,,"Southesk, Saskatchewan, Canada",Northern America,Western Canada Airways,commercial,weather,3.0,3.0,1.0
10/05/1930,02:05,"Near Beauvais, France",Western Europe,Military - British Air Ministry,military,weather,54.0,48.0,0.8888888888888888
10/06/1930,09:45,"Dresden, Germany",Western Europe,Deutsche Lufthansa,commercial,cfit,8.0,8.0,1.0
10/12/1930,,"La Rache, Morocco",Northern Africa,Aeropostale,commercial,cfit,4.0,4.0,1.0
10/28/1930,,"Prince Rupert, BC, Canada",Northern America,Alaska-Washington Airways,commercial,unknown,3.0,3.0,1.0
10/30/1930,,"Near Neufchatel, France",Western Europe,Imperial Airways,commercial,"mechanical, weather",6.0,3.0,0.5
10/30/1930,,"Brookston, Indiana",Northern America,Embry Riddle Company,commercial,mechanical,1.0,1.0,1.0
11/07/1930,,"Off of Santos, Brazil",South America,Syndicato Condor,commercial,cfit,9.0,1.0,0.1111111111111111
11/18/1930,c: 2:00,"Techachapi Mountains, California",Northern America,PacifiAir Transport,commercial,"weather, cfit",3.0,3.0,1.0
12/09/1930,,"Shanghai, China",Eastern Asia,China National Aviation Corporation,commercial,"mechanical, cfit",6.0,4.0,0.6666666666666666
01/08/1931,,"Melle, Belgium",Western Europe,Sabena,commercial,unknown,2.0,2.0,1.0
01/22/1931,,"Bluff Mountain, Washington",Northern America,Varney Air Lines,commercial,"weather, cfit",1.0,1.0,1.0
02/08/1931,,"Wairoa, New Zealand",Australia and New Zealand,Dominion Air Lines,commercial,unknown,1.0,1.0,1.0
02/20/1931,,"Bagot, Manitoba, Canada",Northern America,Western Canada Airways,commercial,"fire, weather, pilot_error",3.0,2.0,0.6666666666666666
02/24/1931,,Off Spain,Southern Europe,Aeropostale,commercial,unknown,3.0,1.0,0.3333333333333333
03/21/1931,,"New South Wales, Australia",Australia and New Zealand,Australian National Airways,commercial,undetermined,8.0,8.0,1.0
03/31/1931,10:45,"Bazaar, Kansas",Northern America,Trans Continental and Western Air,commercial,"mechanical, weather",8.0,8.0,1.0
04/14/1931,,"Near Letschen, Germany",Western Europe,Deutsche Lufthansa,commercial,mechanical,10.0,2.0,0.2
05/05/1931,23:30,"Burbank, California",Northern America,PacifiAir Transport,commercial,weather,2.0,2.0,1.0
05/22/1931,,"Wampit, Australia",Australia and New Zealand,Guiena Airways,commercial,unknown,1.0,1.0,1.0
05/24/1931,22:30,"Bellefonte, Pennsylvania",Northern America,National Air Transport,commercial,"fire, weather, cfit",1.0,1.0,1.0
06/07/1931,09:00,"Near Sandoway, Burma",South-eastern Asia,Air Orient,commercial,"mechanical, weather, cfit",4.0,4.0,1.0
06/11/1931,,"Walbridge, Ohio",Northern America,Rubner Flying Service,commercial,mechanical,3.0,2.0,0.6666666666666666
06/13/1931,,"Saarbrucken, Germany",Western Europe,Deutsche Lufthansa,commercial,"fire, mechanical, weather",4.0,4.0,1.0
07/12/1931,,"Chicago, Illinois",Northern America,Braniff Airlines,commercial,mechanical,2.0,2.0,1.0
07/14/1931,,"Temora, Australia",Australia and New Zealand,Australian Aerial Services,commercial,unknown,2.0,2.0,1.0
07/21/1931,,"Centralia, Illinois",Northern America,American Airways,commercial,unknown,1.0,1.0,1.0
07/24/1931,,"Kurudjevo, Bulgaria",Eastern Europe,CIDNA,commercial,fire,7.0,7.0,1.0
